id,label,element_class,chromosome,start,end,strand
IDH1:CorePromoter,CorePromoter,Promoter,chr2,75590420,75590540,-
IDH1:ProximalPromoter,ProximalPromoter,Promoter,chr2,75590220,75590420,-
IDH1:TATABox,TATABox,PromoterMotif,chr2,75590490,75590498,-
IDH1:CpGIsland,CpGIsland,PromoterMotif,chr2,75590320,75591220,-
IDH1:FivePrimeUTR,FivePrimeUTR,UTR,chr2,75590570,75590750,-
IDH1:ThreePrimeUTR,ThreePrimeUTR,UTR,chr2,75593520,75594320,-
IDH1:PolyASignal,PolyASignal,PolyASignal,chr2,75594320,75594326,-
IDH1:Terminator,Terminator,Terminator,chr2,75594520,75594560,-
CDKN2A:CorePromoter,CorePromoter,Promoter,chr9,42736111,42736231,-
CDKN2A:ProximalPromoter,ProximalPromoter,Promoter,chr9,42735911,42736111,-
CDKN2A:TATABox,TATABox,PromoterMotif,chr9,42736181,42736189,-
CDKN2A:CpGIsland,CpGIsland,PromoterMotif,chr9,42736011,42736911,-
CDKN2A:FivePrimeUTR,FivePrimeUTR,UTR,chr9,42736261,42736441,-
CDKN2A:ThreePrimeUTR,ThreePrimeUTR,UTR,chr9,42739211,42740011,-
CDKN2A:PolyASignal,PolyASignal,PolyASignal,chr9,42740011,42740017,-
CDKN2A:Terminator,Terminator,Terminator,chr9,42740211,42740251,-
MITF:CorePromoter,CorePromoter,Promoter,chr3,58797747,58797867,+
MITF:ProximalPromoter,ProximalPromoter,Promoter,chr3,58797547,58797747,+
MITF:TATABox,TATABox,PromoterMotif,chr3,58797817,58797825,+
MITF:CpGIsland,CpGIsland,PromoterMotif,chr3,58797647,58798547,+
MITF:FivePrimeUTR,FivePrimeUTR,UTR,chr3,58797897,58798077,+
MITF:ThreePrimeUTR,ThreePrimeUTR,UTR,chr3,58800847,58801647,+
MITF:PolyASignal,PolyASignal,PolyASignal,chr3,58801647,58801653,+
MITF:Terminator,Terminator,Terminator,chr3,58801847,58801887,+
VEGFA:CorePromoter,CorePromoter,Promoter,chr6,205948794,205948914,+
VEGFA:ProximalPromoter,ProximalPromoter,Promoter,chr6,205948594,205948794,+
VEGFA:TATABox,TATABox,PromoterMotif,chr6,205948864,205948872,+
VEGFA:CpGIsland,CpGIsland,PromoterMotif,chr6,205948694,205949594,+
VEGFA:FivePrimeUTR,FivePrimeUTR,UTR,chr6,205948944,205949124,+
VEGFA:ThreePrimeUTR,ThreePrimeUTR,UTR,chr6,205951894,205952694,+
VEGFA:PolyASignal,PolyASignal,PolyASignal,chr6,205952694,205952700,+
VEGFA:Terminator,Terminator,Terminator,chr6,205952894,205952934,+
TNF:CorePromoter,CorePromoter,Promoter,chr6,91353811,91353931,+
TNF:ProximalPromoter,ProximalPromoter,Promoter,chr6,91353611,91353811,+
TNF:TATABox,TATABox,PromoterMotif,chr6,91353881,91353889,+
TNF:CpGIsland,CpGIsland,PromoterMotif,chr6,91353711,91354611,+
TNF:FivePrimeUTR,FivePrimeUTR,UTR,chr6,91353961,91354141,+
TNF:ThreePrimeUTR,ThreePrimeUTR,UTR,chr6,91356911,91357711,+
TNF:PolyASignal,PolyASignal,PolyASignal,chr6,91357711,91357717,+
TNF:Terminator,Terminator,Terminator,chr6,91357911,91357951,+
IL6:CorePromoter,CorePromoter,Promoter,chr7,28436762,28436882,+
IL6:ProximalPromoter,ProximalPromoter,Promoter,chr7,28436562,28436762,+
IL6:TATABox,TATABox,PromoterMotif,chr7,28436832,28436840,+
IL6:CpGIsland,CpGIsland,PromoterMotif,chr7,28436662,28437562,+
IL6:FivePrimeUTR,FivePrimeUTR,UTR,chr7,28436912,28437092,+
IL6:ThreePrimeUTR,ThreePrimeUTR,UTR,chr7,28439862,28440662,+
IL6:PolyASignal,PolyASignal,PolyASignal,chr7,28440662,28440668,+
IL6:Terminator,Terminator,Terminator,chr7,28440862,28440902,+
INS:CorePromoter,CorePromoter,Promoter,chr11,25896173,25896293,-
INS:ProximalPromoter,ProximalPromoter,Promoter,chr11,25895973,25896173,-
INS:TATABox,TATABox,PromoterMotif,chr11,25896243,25896251,-
INS:CpGIsland,CpGIsland,PromoterMotif,chr11,25896073,25896973,-
INS:FivePrimeUTR,FivePrimeUTR,UTR,chr11,25896323,25896503,-
INS:ThreePrimeUTR,ThreePrimeUTR,UTR,chr11,25899273,25900073,-
INS:PolyASignal,PolyASignal,PolyASignal,chr11,25900073,25900079,-
INS:Terminator,Terminator,Terminator,chr11,25900273,25900313,-
GCK:CorePromoter,CorePromoter,Promoter,chr7,102985859,102985979,-
GCK:ProximalPromoter,ProximalPromoter,Promoter,chr7,102985659,102985859,-
GCK:TATABox,TATABox,PromoterMotif,chr7,102985929,102985937,-
GCK:CpGIsland,CpGIsland,PromoterMotif,chr7,102985759,102986659,-
GCK:FivePrimeUTR,FivePrimeUTR,UTR,chr7,102986009,102986189,-
GCK:ThreePrimeUTR,ThreePrimeUTR,UTR,chr7,102988959,102989759,-
GCK:PolyASignal,PolyASignal,PolyASignal,chr7,102989759,102989765,-
GCK:Terminator,Terminator,Terminator,chr7,102989959,102989999,-
HNF1A:CorePromoter,CorePromoter,Promoter,chr12,26962005,26962125,+
HNF1A:ProximalPromoter,ProximalPromoter,Promoter,chr12,26961805,26962005,+
HNF1A:TATABox,TATABox,PromoterMotif,chr12,26962075,26962083,+
HNF1A:CpGIsland,CpGIsland,PromoterMotif,chr12,26961905,26962805,+
HNF1A:FivePrimeUTR,FivePrimeUTR,UTR,chr12,26962155,26962335,+
HNF1A:ThreePrimeUTR,ThreePrimeUTR,UTR,chr12,26965105,26965905,+
HNF1A:PolyASignal,PolyASignal,PolyASignal,chr12,26965905,26965911,+
HNF1A:Terminator,Terminator,Terminator,chr12,26966105,26966145,+
F8:CorePromoter,CorePromoter,Promoter,chrX,97362692,97362812,-
F8:ProximalPromoter,ProximalPromoter,Promoter,chrX,97362492,97362692,-
F8:TATABox,TATABox,PromoterMotif,chrX,97362762,97362770,-
F8:CpGIsland,CpGIsland,PromoterMotif,chrX,97362592,97363492,-
F8:FivePrimeUTR,FivePrimeUTR,UTR,chrX,97362842,97363022,-
F8:ThreePrimeUTR,ThreePrimeUTR,UTR,chrX,97365792,97366592,-
F8:PolyASignal,PolyASignal,PolyASignal,chrX,97366592,97366598,-
F8:Terminator,Terminator,Terminator,chrX,97366792,97366832,-
F9:CorePromoter,CorePromoter,Promoter,chrX,228497437,228497557,+
F9:ProximalPromoter,ProximalPromoter,Promoter,chrX,228497237,228497437,+
F9:TATABox,TATABox,PromoterMotif,chrX,228497507,228497515,+
F9:CpGIsland,CpGIsland,PromoterMotif,chrX,228497337,228498237,+
F9:FivePrimeUTR,FivePrimeUTR,UTR,chrX,228497587,228497767,+
F9:ThreePrimeUTR,ThreePrimeUTR,UTR,chrX,228500537,228501337,+
F9:PolyASignal,PolyASignal,PolyASignal,chrX,228501337,228501343,+
F9:Terminator,Terminator,Terminator,chrX,228501537,228501577,+
CYP21A2:CorePromoter,CorePromoter,Promoter,chr6,93329811,93329931,+
CYP21A2:ProximalPromoter,ProximalPromoter,Promoter,chr6,93329611,93329811,+
CYP21A2:TATABox,TATABox,PromoterMotif,chr6,93329881,93329889,+
CYP21A2:CpGIsland,CpGIsland,PromoterMotif,chr6,93329711,93330611,+
CYP21A2:FivePrimeUTR,FivePrimeUTR,UTR,chr6,93329961,93330141,+
CYP21A2:ThreePrimeUTR,ThreePrimeUTR,UTR,chr6,93332911,93333711,+
CYP21A2:PolyASignal,PolyASignal,PolyASignal,chr6,93333711,93333717,+
CYP21A2:Terminator,Terminator,Terminator,chr6,93333911,93333951,+
